"nombre_capa","nombre_explicito","descripcion","tipo_geometria","estilos","campo_fill_color"
"plagas","Plagas","Identificación de plagas en especies arbóreas","POINT",NA,NA
"suelos_contaminados","Suelos contaminados","","POINT",NA,NA
"regiones_hidrolog","Regiones hidrológicas","En México se ubican 37 regiones hidrológicas definidas a partir de grandes parteaguas del país. En cada una de estas regiones hidrológicas está contenida, al menos una cuenca, y a su vez, no existe cuenca alguna que esté en más de una región hidrológica","MULTIPOLYGON","[{""clases"":""Confluencia de las Huastecas"",""color"":""#9AB17A""},{""clases"":""Río Tecolutla"",""color"":""#81A6C6""},{""clases"":""Humedales de Jilotepec-Ixtlahuaca"",""color"":""#AACDDC""},{""clases"":""Llanos de Apan"",""color"":""#F3E3D0""},{""clases"":""Remanentes del complejo lacustre de la Cuenca de México"",""color"":""#D2C4B4""}]","Nombre"
"regiones_terrest","Regiones terrestres prioritarias","La identificación de las regiones terrestres prioritarias (RTP) se llevó a cabo por medio de dos talleres multidisciplinarios con la participación de 65 expertos, pertenecientes a 37 instituciones, realizados entre 1996 y 1999, en los que se delimitaron 152 polígonos en función de diversos criterios biológicos, de amenaza para el mantenimiento de la biodiversidad, que representaban una oportunidad para la conservación, y de su correspondencia espacial con rasgos topográficos, cuencas hidrológicas, áreas naturales protegidas, tipos de sustrato y de vegetación en un sistema de información geográfica","MULTIPOLYGON","[{""clases"":""Sierra Gorda-río Moctezuma"",""color"":""#F3E3D0""},{""clases"":""Bosques Mesófilos de la Sierra Madre Oriental"",""color"":""#9AB17A""}]","Nombre"
"sitios_de_conserv","Sitios de conservación","","MULTIPOLYGON","[{""clases"":""Bosque"",""color"":""#B6CEB4""},{""clases"":""Selva"",""color"":""#96A78D""},{""clases"":""Cuerpo de agua"",""color"":""#AACDDC""},{""clases"":""Matorral"",""color"":""#FBE8CE""}]","Tipo"
"sitios_de_proteccion","Sitios de protección","","MULTIPOLYGON","[{""clases"":""Altiplanicie Pulquera"",""color"":""#FF9A86""},{""clases"":""Comarca Minera"",""color"":""#FFB399""},{""clases"":""Cuenca de Mexico"",""color"":""#FFD6A6""},{""clases"":""Huasteca"",""color"":""#FFF0BE""},{""clases"":""Sierra Alta"",""color"":""#BBDCE5""},{""clases"":""Sierra Baja"",""color"":""#ECEEDF""},{""clases"":""Sierra de Tenango"",""color"":""#D9C4B0""},{""clases"":""Sierra Gorda"",""color"":""#CFAB8D""},{""clases"":""Valle de Tulancingo"",""color"":""#96A78D""},{""clases"":""Valle del Mezquital"",""color"":""#B6CEB4""}]","region_natural"
"sitios_de_restauracion","Sitios prioritarios de restauración","Los SPR representan áreas de alto valor biológico que requieren acciones de restauración para asegurar en el largo plazo la persistencia de la biodiversidad que albergan, así como las funciones ecológicas que los mantienen y los bienes y servicios ecosistémicos que proveen, además de contribuir a incrementar la conectividad ecológica y la recuperación de hábitats de las especies más vulnerables ante diversos factores del cambio global (Tobón et al. 2016, 2017)","MULTIPOLYGON","[{""clases"":""Altiplanicie Pulquera"",""color"":""#FF9A86""},{""clases"":""Comarca Minera"",""color"":""#FFB399""},{""clases"":""Cuenca de Mexico"",""color"":""#FFD6A6""},{""clases"":""Huasteca"",""color"":""#FFF0BE""},{""clases"":""Sierra Alta"",""color"":""#BBDCE5""},{""clases"":""Sierra Baja"",""color"":""#ECEEDF""},{""clases"":""Sierra de Tenango"",""color"":""#D9C4B0""},{""clases"":""Sierra Gorda"",""color"":""#CFAB8D""},{""clases"":""Valle de Tulancingo"",""color"":""#96A78D""},{""clases"":""Valle del Mezquital"",""color"":""#B6CEB4""}]","region_natural"
"umas","Unidades de Manejo Ambiental (UMA)","Las Unidades de Manejo para la Conservación de la Vida Silvestre (UMAs) son espacios de promoción de esquemas alternativos de producción compatibles con la conservación de la vida silvestre","POLYGON","[{""clases"":""(0,65]"",""color"":""#F2EAE0""},{""clases"":""(65,123]"",""color"":""#FFF1D3""},{""clases"":""(123,376]"",""color"":""#FFB090""},{""clases"":""(376,1.48e+03]"",""color"":""#CA5995""},{""clases"":""(1.48e+03,4.4e+03]"",""color"":""#5D1C6A""}]","hectareas_quantil"
"ecorregiones","Ecorregiones","Las ecorregiones son un esfuerzo mundial para tratar de regionalizar amplias extensiones de territorio, considerando que incluso en condiciones climatológicas, geológicas y edafológicas similares, las regiones que
han estado separadas por su historia geológica suficiente tiempo tienen floras y faunas distintas (Challenger
y Soberon, 2008)","MULTIPOLYGON","[{""clases"":""Veracruz moist forests"",""color"":""#F075AE""},{""clases"":""Trans-Mexican Volcanic Belt pine-oak forests"",""color"":""#F7DB91""},{""clases"":""Veracruz montane forests"",""color"":""#FFFDCE""},{""clases"":""Central Mexican matorral"",""color"":""#9BC264""},{""clases"":""Sierra Madre Oriental pine-oak forests"",""color"":""#FF8C00""},{""clases"":""Meseta Central matorral"",""color"":""#FF5F00""}]","Nombre"
"rios","Ríos","De acuerdo con datos de la Comisión Nacional del Agua (Conagua) México cuenta con una red hidrográfica de 633 mil kilómetros de longitud, donde destacan 51 ríos por los que fluye el 87% del escurrimiento superficial y cuyas cuencas cubren el 65% de la superficie nacional","LINESTRING","[{""clases"":""INTERMITENTE"",""color"":""#A1E3F9""},{""clases"":""PERENNE"",""color"":""#3674B5""}]","condicion"
