"Localidad","n"
"ampliacion el palmar",11
NA,6
"valles de pachuca",5
"ciudad de los ninos",4
"ampliacion del palmar",2
"ampliacion palmar",2
"ampliacion san antonio",2
"ampliacion san antonio el desmonte",2
"la herradura",2
"los arrayanes",2
"pachuca de soto",2
"real toledo",2
"santa cruz nopancalco",2
"ampliacion abetos",1
"ampliacion jorge obispo",1
"ampliacion la palma tlapacoya",1
"ampliacion palmar segunda seccion",1
"barrio de la cruz san bartolo",1
"barrio el judio",1
"barrio el puerto",1
"barrio san clemente",1
"bella vista",1
"benito juarez",1
"campestre de silva",1
"cruz del cerrito",1
"del judio",1
"el bordo",1
"el judio",1
"el mirador",1
"fraccionamiento cihuatl",1
"fraccionamiento jardines de la hacienda",1
"fraccionamiento los prismas",1
"fraccionamiento punta cristal",1
"guadalupana",1
"habitare diamante",1
"hasta bandera",1
"hogares union",1
"la lola",1
"margarita moran veliz",1
"marqueza",1
"nuevo palmar",1
"paseos de los olivos",1
"pradera de virreyes",1
"privada corcega residencial los vinedos",1
"puente de la minerva",1
"real navarra azoleta",1
"residencial el alamo",1
"san clemente",1
"san martin",1
"santo tomas",1
"solidaridad",1
"tierra y libertad",1
